CLAIMNUMBER,LOBCODE
030935159,10004
030935190,10004
030935219,10004
030935224,10004
030935339,10004
030935368,10004
030935390,10004
030935747,10004
030935751,10004
030935792,10004
030935843,10004
030936012,10004
030936019,10004
030936105,10004
030936119,10004
030936159,10004
030936163,10004
030936186,10004
030936210,10004
030936213,10004
030936218,10004
030936259,10004
030937505,10004
030937631,10004
030937744,10004
030937874,10004
030937893,10004
030938000,10004
030938040,10004
030938053,10004
030938080,10004
030938304,10004
030938308,10004
030938323,10004
030938353,10004
030938385,10004
030938413,10004
030938496,10004
030938506,10004
030938633,10004
030938652,10004
030938664,10004
030938833,10004
030938928,10004
030938935,10004
030938953,10004
030938995,10004
030939064,10004
030939071,10004
030939096,10004
030939104,10004
030939139,10004
030939142,10004
030939169,10004
030939202,10004
030939236,10004
030939289,10004
030939315,10004
030939353,10004
030939456,10004
030939463,10004
030939479,10004
030939516,10004
030939529,10004
030939624,10004
030939643,10004
030939934,10004
030940048,10004
030940142,10004
030942288,10004
030942376,10004
030942389,10004
030942425,10004
030942431,10004
030942465,10004
030942502,10004
030942533,10004
030942595,10004
030942622,10004
030942659,10004
030942701,10004
030942833,10004
030942937,10004
030942948,10004
030942994,10004
030943015,10004
030943093,10004
030943140,10004
030943146,10004
030943191,10004
030943339,10004
030943497,10004
030943534,10004
030943564,10004
030943590,10004
030943670,10004
030943764,10004
030943881,10004
030943888,10004
030944000,10004
030944024,10004
030944036,10004
030944297,10004
030944379,10004
030944417,10004
030944426,10004
030945619,10004
030945648,10004
030945677,10004
030945752,10004
030945883,10004
030945903,10004
030945930,10004
030945935,10004
030946012,10004
030946060,10004
030946107,10004
030946127,10004
030946153,10004
030946196,10004
030946236,10004
030946369,10004
030946384,10004
030946434,10004
030946444,10004
030946445,10004
030946478,10004
030946627,10004
030946644,10004
030946652,10004
030946703,10004
030946748,10004
030946751,10004
030946769,10004
030946792,10004
030946864,10004
030946882,10004
030946943,10004
030947006,10004
030947010,10004
030947025,10004
030947093,10004
030947197,10004
030947205,10004
030947262,10004
030947315,10004
030947361,10004
030947382,10004
030947489,10004
030947535,10004
030947598,10004
030947625,10004
030947736,10004
030947820,10004
030947853,10004
030947881,10004
030947931,10004
030947960,10004
030947967,10004
030947976,10004
030947982,10004
030947999,10004
030948009,10004
030948027,10004
030948030,10004
030948043,10004
030948063,10004
030948093,10004
030948150,10004
030948161,10004
030948182,10004
030948201,10004
030948220,10004
030948225,10004
030948250,10004
030948251,10004
030948290,10004
030948307,10004
030948334,10004
030948356,10004
030948400,10004
030948410,10004
030948435,10004
030948446,10004
030948451,10004
030948501,10004
030948521,10004
030948630,10004
030948655,10004
030948665,10004
030948678,10004
030948744,10004
030948788,10004
030948791,10004
030948800,10004
030948839,10004
030948860,10004
030948873,10004
030948879,10004
030948894,10004
030948905,10004
030948933,10004
030948936,10004
030948971,10004
030949001,10004
030949003,10004
030949011,10004
030949088,10004
030949101,10004
030949109,10004
030949113,10004
030949121,10004
030949179,10004
030949189,10004
030949215,10004
030949219,10004
030949239,10004
030949286,10004
030949306,10004
030949313,10004
030949331,10004
030949355,10004
030949362,10004
030949452,10004
030949482,10004
030949565,10004
030949585,10004
030949588,10004
030949605,10004
030949608,10004
030949623,10004
030949731,10004
