LM_PARENTEXPOSURENUMBER,LEVEL
023136861,OccurrenceAndClaim
023136895,OccurrenceAndClaim
023136901,OccurrenceAndClaim
023136907,OccurrenceAndClaim
023136917,OccurrenceAndClaim
023137003,OccurrenceAndClaim
023137005,OccurrenceAndClaim
023137006,OccurrenceAndClaim
023137063,OccurrenceAndClaim
023137069,OccurrenceAndClaim
023137115,OccurrenceAndClaim
023137140,OccurrenceAndClaim
023137149,OccurrenceAndClaim
023137209,OccurrenceAndClaim
023137329,OccurrenceAndClaim
023137393,OccurrenceAndClaim
023137400,OccurrenceAndClaim
023137406,OccurrenceAndClaim
023138489,OccurrenceAndClaim
023138490,OccurrenceAndClaim
023138492,OccurrenceAndClaim
023138514,OccurrenceAndClaim
023139630,OccurrenceAndClaim
023139673,OccurrenceAndClaim
023139676,OccurrenceAndClaim
023139731,OccurrenceAndClaim
023140782,OccurrenceAndClaim
023142951,OccurrenceAndClaim
023142961,OccurrenceAndClaim
023142969,OccurrenceAndClaim
023143017,OccurrenceAndClaim
023143028,OccurrenceAndClaim
023143031,OccurrenceAndClaim
023143040,OccurrenceAndClaim
023150342,OccurrenceAndClaim
023150364,OccurrenceAndClaim
023150373,OccurrenceAndClaim
023150407,OccurrenceAndClaim
023150507,OccurrenceAndClaim
023150516,OccurrenceAndClaim
023150621,OccurrenceAndClaim
023150715,OccurrenceAndClaim
023150839,OccurrenceAndClaim
023150840,OccurrenceAndClaim
023150843,OccurrenceAndClaim
023150858,OccurrenceAndClaim
023150871,OccurrenceAndClaim
023150905,OccurrenceAndClaim
023150931,OccurrenceAndClaim
023150948,OccurrenceAndClaim
023150984,OccurrenceAndClaim
023151052,OccurrenceAndClaim
023152172,OccurrenceAndClaim
023152210,OccurrenceAndClaim
023152230,OccurrenceAndClaim
023152274,OccurrenceAndClaim
023152452,OccurrenceAndClaim
023152459,OccurrenceAndClaim
023152476,OccurrenceAndClaim
023152495,OccurrenceAndClaim
023152512,OccurrenceAndClaim
023152525,OccurrenceAndClaim
023152550,OccurrenceAndClaim
023152551,OccurrenceAndClaim
023152556,OccurrenceAndClaim
023152569,OccurrenceAndClaim
023152591,OccurrenceAndClaim
023152593,OccurrenceAndClaim
023152644,OccurrenceAndClaim
023160854,OccurrenceAndClaim
023160983,OccurrenceAndClaim
023161053,OccurrenceAndClaim
023161064,OccurrenceAndClaim
023161066,OccurrenceAndClaim
023161081,OccurrenceAndClaim
023161118,OccurrenceAndClaim
023161148,OccurrenceAndClaim
023161188,OccurrenceAndClaim
023161211,OccurrenceAndClaim
023161226,OccurrenceAndClaim
023161245,OccurrenceAndClaim
023161257,OccurrenceAndClaim
023161289,OccurrenceAndClaim
023161294,OccurrenceAndClaim
023161337,OccurrenceAndClaim
023161338,OccurrenceAndClaim
023161389,OccurrenceAndClaim
023162634,OccurrenceAndClaim
023162641,OccurrenceAndClaim
023162780,OccurrenceAndClaim
023162804,OccurrenceAndClaim
023162810,OccurrenceAndClaim
023162821,OccurrenceAndClaim
023162829,OccurrenceAndClaim
023162838,OccurrenceAndClaim
023162868,OccurrenceAndClaim
023162940,OccurrenceAndClaim
023163016,OccurrenceAndClaim
023170197,OccurrenceAndClaim
023170301,OccurrenceAndClaim
023170426,OccurrenceAndClaim
023170480,OccurrenceAndClaim
023170492,OccurrenceAndClaim
023170517,OccurrenceAndClaim
023170528,OccurrenceAndClaim
023170651,OccurrenceAndClaim
023170661,OccurrenceAndClaim
023170791,OccurrenceAndClaim
023171896,OccurrenceAndClaim
023171933,OccurrenceAndClaim
023171966,OccurrenceAndClaim
023172026,OccurrenceAndClaim
023172037,OccurrenceAndClaim
023172045,OccurrenceAndClaim
023172050,OccurrenceAndClaim
023172064,OccurrenceAndClaim
023172072,OccurrenceAndClaim
023172092,OccurrenceAndClaim
023172108,OccurrenceAndClaim
023172148,OccurrenceAndClaim
023172159,OccurrenceAndClaim
023172161,OccurrenceAndClaim
023172205,OccurrenceAndClaim
023172240,OccurrenceAndClaim
023172248,OccurrenceAndClaim
023172308,OccurrenceAndClaim
023172340,OccurrenceAndClaim
023172349,OccurrenceAndClaim
023172356,OccurrenceAndClaim
023179534,OccurrenceAndClaim
023179595,OccurrenceAndClaim
023179603,OccurrenceAndClaim
023179613,OccurrenceAndClaim
023179633,OccurrenceAndClaim
023179701,OccurrenceAndClaim
023179861,OccurrenceAndClaim
023179864,OccurrenceAndClaim
023179881,OccurrenceAndClaim
023179900,OccurrenceAndClaim
023179939,OccurrenceAndClaim
023179953,OccurrenceAndClaim
023179973,OccurrenceAndClaim
023180012,OccurrenceAndClaim
023180020,OccurrenceAndClaim
023180086,OccurrenceAndClaim
023180146,OccurrenceAndClaim
023180147,OccurrenceAndClaim
023180153,OccurrenceAndClaim
023181259,OccurrenceAndClaim
023181282,OccurrenceAndClaim
023181288,OccurrenceAndClaim
023181305,OccurrenceAndClaim
023181332,OccurrenceAndClaim
023181343,OccurrenceAndClaim
023181417,OccurrenceAndClaim
023181421,OccurrenceAndClaim
023181427,OccurrenceAndClaim
023181470,OccurrenceAndClaim
023181471,OccurrenceAndClaim
023181479,OccurrenceAndClaim
023181495,OccurrenceAndClaim
023181529,OccurrenceAndClaim
023181554,OccurrenceAndClaim
023181560,OccurrenceAndClaim
023181617,OccurrenceAndClaim
023181620,OccurrenceAndClaim
023191915,OccurrenceAndClaim
023191946,OccurrenceAndClaim
023191998,OccurrenceAndClaim
023192095,OccurrenceAndClaim
023192118,OccurrenceAndClaim
023192129,OccurrenceAndClaim
023192155,OccurrenceAndClaim
023192189,OccurrenceAndClaim
023193285,OccurrenceAndClaim
023193308,OccurrenceAndClaim
023193392,OccurrenceAndClaim
023193396,OccurrenceAndClaim
023193436,OccurrenceAndClaim
023193448,OccurrenceAndClaim
023201648,OccurrenceAndClaim
023201654,OccurrenceAndClaim
023201657,OccurrenceAndClaim
023201752,OccurrenceAndClaim
023201765,OccurrenceAndClaim
023201775,OccurrenceAndClaim
023201783,OccurrenceAndClaim
023201789,OccurrenceAndClaim
023201847,OccurrenceAndClaim
023201865,OccurrenceAndClaim
023201866,OccurrenceAndClaim
023201890,OccurrenceAndClaim
023201892,OccurrenceAndClaim
023209129,OccurrenceAndClaim
023209167,OccurrenceAndClaim
023209246,OccurrenceAndClaim
023209272,OccurrenceAndClaim
023209327,OccurrenceAndClaim
023209346,OccurrenceAndClaim
023209362,OccurrenceAndClaim
023209383,OccurrenceAndClaim
023209404,OccurrenceAndClaim
023209419,OccurrenceAndClaim
023209452,OccurrenceAndClaim
023209457,OccurrenceAndClaim
023209537,OccurrenceAndClaim
023209604,OccurrenceAndClaim
023209646,OccurrenceAndClaim
023209657,OccurrenceAndClaim
023209748,OccurrenceAndClaim
023209823,OccurrenceAndClaim
023209947,OccurrenceAndClaim
023209951,OccurrenceAndClaim
023209968,OccurrenceAndClaim
023211073,OccurrenceAndClaim
023211081,OccurrenceAndClaim
023211082,OccurrenceAndClaim
023211133,OccurrenceAndClaim
023211138,OccurrenceAndClaim
023211147,OccurrenceAndClaim
023211183,OccurrenceAndClaim
023211241,OccurrenceAndClaim
023213336,OccurrenceAndClaim
023213337,OccurrenceAndClaim
023214383,OccurrenceAndClaim
023215570,OccurrenceAndClaim
023215579,OccurrenceAndClaim
023215637,OccurrenceAndClaim
023222834,OccurrenceAndClaim
023222863,OccurrenceAndClaim
023222902,OccurrenceAndClaim
023222926,OccurrenceAndClaim
023222956,OccurrenceAndClaim
023222985,OccurrenceAndClaim
023223063,OccurrenceAndClaim
023223072,OccurrenceAndClaim
023223081,OccurrenceAndClaim
023223088,OccurrenceAndClaim
023223089,OccurrenceAndClaim
023223115,OccurrenceAndClaim
023223133,OccurrenceAndClaim
023223195,OccurrenceAndClaim
023223222,OccurrenceAndClaim
023223264,OccurrenceAndClaim
023223376,OccurrenceAndClaim
023223550,OccurrenceAndClaim
023224625,OccurrenceAndClaim
023224717,OccurrenceAndClaim
023224759,OccurrenceAndClaim
023224797,OccurrenceAndClaim
023224839,OccurrenceAndClaim
023224861,OccurrenceAndClaim
023224911,OccurrenceAndClaim
023224983,OccurrenceAndClaim
023234276,OccurrenceAndClaim
023234290,OccurrenceAndClaim
023234305,OccurrenceAndClaim
023234371,OccurrenceAndClaim
023234375,OccurrenceAndClaim
023234389,OccurrenceAndClaim
023234435,OccurrenceAndClaim
023234442,OccurrenceAndClaim
023234459,OccurrenceAndClaim
023234506,OccurrenceAndClaim
023234572,OccurrenceAndClaim
023234655,OccurrenceAndClaim
023234804,OccurrenceAndClaim
023234842,OccurrenceAndClaim
023236021,OccurrenceAndClaim
023236056,OccurrenceAndClaim
023236070,OccurrenceAndClaim
023236103,OccurrenceAndClaim
023236182,OccurrenceAndClaim
023236213,OccurrenceAndClaim
023236252,OccurrenceAndClaim
023243548,OccurrenceAndClaim
023243572,OccurrenceAndClaim
023243644,OccurrenceAndClaim
023243647,OccurrenceAndClaim
023243694,OccurrenceAndClaim
023243695,OccurrenceAndClaim
023243749,OccurrenceAndClaim
023243755,OccurrenceAndClaim
023243779,OccurrenceAndClaim
023243791,OccurrenceAndClaim
023243822,OccurrenceAndClaim
023243830,OccurrenceAndClaim
023243839,OccurrenceAndClaim
023243886,OccurrenceAndClaim
023243905,OccurrenceAndClaim
023243906,OccurrenceAndClaim
023243910,OccurrenceAndClaim
023243915,OccurrenceAndClaim
023243926,OccurrenceAndClaim
023243943,OccurrenceAndClaim
023243988,OccurrenceAndClaim
023243989,OccurrenceAndClaim
023244167,OccurrenceAndClaim
023244178,OccurrenceAndClaim
023245215,OccurrenceAndClaim
023245247,OccurrenceAndClaim
023245342,OccurrenceAndClaim
023245379,OccurrenceAndClaim
023245396,OccurrenceAndClaim
023245409,OccurrenceAndClaim
023245527,OccurrenceAndClaim
023245552,OccurrenceAndClaim
023252843,OccurrenceAndClaim
023252921,OccurrenceAndClaim
023252943,OccurrenceAndClaim
023253074,OccurrenceAndClaim
023253251,OccurrenceAndClaim
023253293,OccurrenceAndClaim
023253317,OccurrenceAndClaim
023253349,OccurrenceAndClaim
023253386,OccurrenceAndClaim
023254462,OccurrenceAndClaim
023254471,OccurrenceAndClaim
023254475,OccurrenceAndClaim
023254485,OccurrenceAndClaim
023254526,OccurrenceAndClaim
023254528,OccurrenceAndClaim
023254641,OccurrenceAndClaim
023254686,OccurrenceAndClaim
023254707,OccurrenceAndClaim
023254716,OccurrenceAndClaim
023254740,OccurrenceAndClaim
023254751,OccurrenceAndClaim
023254797,OccurrenceAndClaim
023254820,OccurrenceAndClaim
023254827,OccurrenceAndClaim
023254875,OccurrenceAndClaim
023254887,OccurrenceAndClaim
023254896,OccurrenceAndClaim
023263183,OccurrenceAndClaim
023263202,OccurrenceAndClaim
023263211,OccurrenceAndClaim
023263214,OccurrenceAndClaim
023263216,OccurrenceAndClaim
023263305,OccurrenceAndClaim
