CLAIMNUMBER,LOBCODE
030989343,10001
030989362,10001
030989389,10001
030989411,10001
030989422,10001
030989480,10001
030989560,10001
030989565,10001
030989566,10001
030989584,10001
030989590,10001
030989635,10001
030989768,10001
030989779,10001
030989809,10001
030989865,10001
030989918,10001
030991093,10001
030991144,10001
044708580,10001
044708587,10001
044708593,10001
044708602,10001
044708630,10001
044708632,10001
044708662,10001
044708682,10001
044708698,10001
044708699,10001
044708716,10001
044708743,10001
044708781,10001
044708790,10001
044708820,10001
044708842,10001
044708858,10001
044708869,10001
044708876,10001
044708901,10001
044708906,10001
044708926,10001
044708947,10001
044708956,10001
044708964,10001
044708990,10001
044708991,10001
044709001,10001
044709024,10001
044709029,10001
044709031,10001
044709034,10001
044709054,10001
044709074,10001
044709093,10001
044709115,10001
044709116,10001
044709123,10001
044709154,10001
044709156,10001
044709159,10001
044709178,10001
044709183,10001
044709200,10001
044709201,10001
044709218,10001
044709239,10001
044709240,10001
044709279,10001
044709280,10001
044709285,10001
044709305,10001
044709322,10001
044709326,10001
044709330,10001
044709340,10001
044709342,10001
044709368,10001
044709370,10001
044709408,10001
044709414,10001
044709418,10001
044709432,10001
044709452,10001
044709473,10001
044709486,10001
044709492,10001
044709498,10001
044709506,10001
044709512,10001
044709530,10001
044709533,10001
044709584,10001
044709636,10001
044709640,10001
044709645,10001
044709654,10001
044709680,10001
044709748,10001
044709782,10001
044709797,10001
044709811,10001
044709825,10001
044709827,10001
044709919,10001
044709932,10001
044710002,10001
